epoch,test_acc,test_acc_channel_music,test_acc_channel_noise,test_acc_channel_telephone,test_acc_gender_female,test_acc_gender_male,test_acc_language_maninka,test_acc_language_pular,test_acc_language_susu,test_acc_speaker_count_multiple,test_acc_speaker_count_single,test_acc_utterance_multilingual,test_acc_utterance_verbal_nod,test_loss,test_n,test_n_channel_music,test_n_channel_noise,test_n_channel_telephone,test_n_gender_female,test_n_gender_male,test_n_language_maninka,test_n_language_pular,test_n_language_susu,test_n_speaker_count_multiple,test_n_speaker_count_single,test_n_utterance_multilingual,test_n_utterance_verbal_nod,train_acc,train_acc_channel_music,train_acc_channel_noise,train_acc_channel_telephone,train_acc_gender_female,train_acc_gender_male,train_acc_language_maninka,train_acc_language_pular,train_acc_language_susu,train_acc_speaker_count_multiple,train_acc_speaker_count_single,train_acc_utterance_multilingual,train_acc_utterance_verbal_nod,train_loss,train_n,train_n_channel_music,train_n_channel_noise,train_n_channel_telephone,train_n_gender_female,train_n_gender_male,train_n_language_maninka,train_n_language_pular,train_n_language_susu,train_n_speaker_count_multiple,train_n_speaker_count_single,train_n_utterance_multilingual,train_n_utterance_verbal_nod
1,0.24242424242424243,0.4,0.16666666666666666,0.3333333333333333,0.75,0.25,1.0,0.0,0.0,0.3157894736842105,0.15384615384615385,0.125,0.3,1.1450843811035156,33,10,6,9,4,32,8,15,10,19,13,8,20,0.4117647058823529,0.42857142857142855,0.26666666666666666,0.4444444444444444,0.36363636363636365,0.42857142857142855,1.0,0.07692307692307693,0.0,0.41025641025641024,0.4166666666666667,0.46153846153846156,0.39285714285714285,1.0933740139007568,51,14,15,18,11,49,20,13,18,39,12,13,28
2,0.24242424242424243,0.4,0.16666666666666666,0.3333333333333333,0.75,0.25,1.0,0.0,0.0,0.3157894736842105,0.15384615384615385,0.125,0.3,1.145234227180481,33,10,6,9,4,32,8,15,10,19,13,8,20,0.4117647058823529,0.42857142857142855,0.26666666666666666,0.4444444444444444,0.36363636363636365,0.42857142857142855,1.0,0.07692307692307693,0.0,0.41025641025641024,0.4166666666666667,0.46153846153846156,0.39285714285714285,1.122953176498413,51,14,15,18,11,49,20,13,18,39,12,13,28
3,0.24242424242424243,0.4,0.16666666666666666,0.3333333333333333,0.75,0.25,1.0,0.0,0.0,0.3157894736842105,0.15384615384615385,0.125,0.3,1.1456085443496704,33,10,6,9,4,32,8,15,10,19,13,8,20,0.39215686274509803,0.42857142857142855,0.2,0.3888888888888889,0.36363636363636365,0.40816326530612246,1.0,0.0,0.0,0.38461538461538464,0.4166666666666667,0.46153846153846156,0.35714285714285715,1.1150932312011719,51,14,15,18,11,49,20,13,18,39,12,13,28
4,0.24242424242424243,0.4,0.16666666666666666,0.3333333333333333,0.75,0.25,1.0,0.0,0.0,0.3157894736842105,0.15384615384615385,0.125,0.3,1.1458549499511719,33,10,6,9,4,32,8,15,10,19,13,8,20,0.35294117647058826,0.35714285714285715,0.13333333333333333,0.3888888888888889,0.2727272727272727,0.3673469387755102,0.85,0.07692307692307693,0.0,0.358974358974359,0.3333333333333333,0.23076923076923078,0.35714285714285715,1.08376145362854,51,14,15,18,11,49,20,13,18,39,12,13,28
5,0.24242424242424243,0.4,0.16666666666666666,0.3333333333333333,0.75,0.25,1.0,0.0,0.0,0.3157894736842105,0.15384615384615385,0.125,0.3,1.1461002826690674,33,10,6,9,4,32,8,15,10,19,13,8,20,0.37254901960784315,0.42857142857142855,0.2,0.3888888888888889,0.36363636363636365,0.3877551020408163,0.95,0.0,0.0,0.358974358974359,0.4166666666666667,0.46153846153846156,0.32142857142857145,1.0912688970565796,51,14,15,18,11,49,20,13,18,39,12,13,28
6,0.24242424242424243,0.4,0.16666666666666666,0.3333333333333333,0.75,0.25,1.0,0.0,0.0,0.3157894736842105,0.15384615384615385,0.125,0.3,1.1459999084472656,33,10,6,9,4,32,8,15,10,19,13,8,20,0.4117647058823529,0.42857142857142855,0.2,0.3888888888888889,0.36363636363636365,0.42857142857142855,1.0,0.07692307692307693,0.0,0.41025641025641024,0.4166666666666667,0.5384615384615384,0.39285714285714285,1.1091800928115845,51,14,15,18,11,49,20,13,18,39,12,13,28
7,0.24242424242424243,0.4,0.16666666666666666,0.3333333333333333,0.75,0.25,1.0,0.0,0.0,0.3157894736842105,0.15384615384615385,0.125,0.3,1.1455674171447754,33,10,6,9,4,32,8,15,10,19,13,8,20,0.35294117647058826,0.35714285714285715,0.13333333333333333,0.3888888888888889,0.2727272727272727,0.3673469387755102,0.9,0.0,0.0,0.3333333333333333,0.4166666666666667,0.38461538461538464,0.32142857142857145,1.1267285346984863,51,14,15,18,11,49,20,13,18,39,12,13,28
8,0.24242424242424243,0.4,0.16666666666666666,0.3333333333333333,0.75,0.25,1.0,0.0,0.0,0.3157894736842105,0.15384615384615385,0.125,0.3,1.1447806358337402,33,10,6,9,4,32,8,15,10,19,13,8,20,0.43137254901960786,0.42857142857142855,0.2,0.4444444444444444,0.36363636363636365,0.4489795918367347,1.0,0.07692307692307693,0.05555555555555555,0.4358974358974359,0.4166666666666667,0.5384615384615384,0.42857142857142855,1.1085354089736938,51,14,15,18,11,49,20,13,18,39,12,13,28
9,0.24242424242424243,0.4,0.16666666666666666,0.3333333333333333,0.75,0.25,1.0,0.0,0.0,0.3157894736842105,0.15384615384615385,0.125,0.3,1.1442052125930786,33,10,6,9,4,32,8,15,10,19,13,8,20,0.4117647058823529,0.42857142857142855,0.2,0.3888888888888889,0.36363636363636365,0.42857142857142855,1.0,0.07692307692307693,0.0,0.41025641025641024,0.4166666666666667,0.46153846153846156,0.39285714285714285,1.0816818475723267,51,14,15,18,11,49,20,13,18,39,12,13,28
10,0.24242424242424243,0.4,0.16666666666666666,0.3333333333333333,0.75,0.25,1.0,0.0,0.0,0.3157894736842105,0.15384615384615385,0.125,0.3,1.1434091329574585,33,10,6,9,4,32,8,15,10,19,13,8,20,0.4117647058823529,0.5,0.2,0.3888888888888889,0.45454545454545453,0.42857142857142855,1.0,0.0,0.05555555555555555,0.41025641025641024,0.4166666666666667,0.46153846153846156,0.35714285714285715,1.1009492874145508,51,14,15,18,11,49,20,13,18,39,12,13,28
11,0.24242424242424243,0.4,0.16666666666666666,0.3333333333333333,0.75,0.25,1.0,0.0,0.0,0.3157894736842105,0.15384615384615385,0.125,0.3,1.1432180404663086,33,10,6,9,4,32,8,15,10,19,13,8,20,0.4117647058823529,0.42857142857142855,0.2,0.3888888888888889,0.36363636363636365,0.42857142857142855,1.0,0.07692307692307693,0.0,0.41025641025641024,0.4166666666666667,0.46153846153846156,0.39285714285714285,1.1029831171035767,51,14,15,18,11,49,20,13,18,39,12,13,28
