epoch,test_acc,test_acc_channel_music,test_acc_channel_noise,test_acc_channel_telephone,test_acc_gender_female,test_acc_gender_male,test_acc_language_maninka,test_acc_language_pular,test_acc_language_susu,test_acc_speaker_count_multiple,test_acc_speaker_count_single,test_acc_utterance_multilingual,test_acc_utterance_verbal_nod,test_loss,test_n,test_n_channel_music,test_n_channel_noise,test_n_channel_telephone,test_n_gender_female,test_n_gender_male,test_n_language_maninka,test_n_language_pular,test_n_language_susu,test_n_speaker_count_multiple,test_n_speaker_count_single,test_n_utterance_multilingual,test_n_utterance_verbal_nod,train_acc,train_acc_channel_music,train_acc_channel_noise,train_acc_channel_telephone,train_acc_gender_female,train_acc_gender_male,train_acc_language_maninka,train_acc_language_pular,train_acc_language_susu,train_acc_speaker_count_multiple,train_acc_speaker_count_single,train_acc_utterance_multilingual,train_acc_utterance_verbal_nod,train_loss,train_n,train_n_channel_music,train_n_channel_noise,train_n_channel_telephone,train_n_gender_female,train_n_gender_male,train_n_language_maninka,train_n_language_pular,train_n_language_susu,train_n_speaker_count_multiple,train_n_speaker_count_single,train_n_utterance_multilingual,train_n_utterance_verbal_nod
1,0.30303030303030304,0.4,0.42857142857142855,0.4444444444444444,0.5,0.3125,1.0,0.0,0.0,0.30434782608695654,0.3333333333333333,0.3333333333333333,0.1875,1.13776695728302,33,10,7,9,8,32,10,14,9,23,9,12,16,0.35294117647058826,0.42857142857142855,0.07142857142857142,0.3333333333333333,0.42857142857142855,0.3673469387755102,1.0,0.0,0.0,0.4,0.25,0.3333333333333333,0.40625,1.1135923862457275,51,14,14,18,7,49,18,14,19,35,16,9,32
2,0.30303030303030304,0.4,0.42857142857142855,0.4444444444444444,0.5,0.3125,1.0,0.0,0.0,0.30434782608695654,0.3333333333333333,0.3333333333333333,0.1875,1.136904239654541,33,10,7,9,8,32,10,14,9,23,9,12,16,0.35294117647058826,0.42857142857142855,0.07142857142857142,0.3333333333333333,0.42857142857142855,0.3673469387755102,1.0,0.0,0.0,0.4,0.25,0.3333333333333333,0.40625,1.1172170639038086,51,14,14,18,7,49,18,14,19,35,16,9,32
3,0.30303030303030304,0.4,0.42857142857142855,0.4444444444444444,0.5,0.3125,1.0,0.0,0.0,0.30434782608695654,0.3333333333333333,0.3333333333333333,0.1875,1.1362007856369019,33,10,7,9,8,32,10,14,9,23,9,12,16,0.35294117647058826,0.42857142857142855,0.07142857142857142,0.3333333333333333,0.42857142857142855,0.3673469387755102,1.0,0.0,0.0,0.4,0.25,0.3333333333333333,0.40625,1.1105419397354126,51,14,14,18,7,49,18,14,19,35,16,9,32
4,0.30303030303030304,0.4,0.42857142857142855,0.4444444444444444,0.5,0.3125,1.0,0.0,0.0,0.30434782608695654,0.3333333333333333,0.3333333333333333,0.1875,1.1355204582214355,33,10,7,9,8,32,10,14,9,23,9,12,16,0.35294117647058826,0.42857142857142855,0.07142857142857142,0.3333333333333333,0.42857142857142855,0.3673469387755102,1.0,0.0,0.0,0.4,0.25,0.3333333333333333,0.40625,1.1105632781982422,51,14,14,18,7,49,18,14,19,35,16,9,32
5,0.30303030303030304,0.4,0.42857142857142855,0.4444444444444444,0.5,0.3125,1.0,0.0,0.0,0.30434782608695654,0.3333333333333333,0.3333333333333333,0.1875,1.1348519325256348,33,10,7,9,8,32,10,14,9,23,9,12,16,0.35294117647058826,0.42857142857142855,0.07142857142857142,0.3333333333333333,0.42857142857142855,0.3673469387755102,1.0,0.0,0.0,0.4,0.25,0.3333333333333333,0.40625,1.1081033945083618,51,14,14,18,7,49,18,14,19,35,16,9,32
6,0.30303030303030304,0.4,0.42857142857142855,0.4444444444444444,0.5,0.3125,1.0,0.0,0.0,0.30434782608695654,0.3333333333333333,0.3333333333333333,0.1875,1.1342366933822632,33,10,7,9,8,32,10,14,9,23,9,12,16,0.35294117647058826,0.42857142857142855,0.07142857142857142,0.3333333333333333,0.42857142857142855,0.3673469387755102,1.0,0.0,0.0,0.4,0.25,0.3333333333333333,0.40625,1.108673334121704,51,14,14,18,7,49,18,14,19,35,16,9,32
7,0.30303030303030304,0.4,0.42857142857142855,0.4444444444444444,0.5,0.3125,1.0,0.0,0.0,0.30434782608695654,0.3333333333333333,0.3333333333333333,0.1875,1.1336534023284912,33,10,7,9,8,32,10,14,9,23,9,12,16,0.35294117647058826,0.42857142857142855,0.07142857142857142,0.3333333333333333,0.42857142857142855,0.3673469387755102,1.0,0.0,0.0,0.4,0.25,0.3333333333333333,0.40625,1.108456015586853,51,14,14,18,7,49,18,14,19,35,16,9,32
8,0.30303030303030304,0.4,0.42857142857142855,0.4444444444444444,0.5,0.3125,1.0,0.0,0.0,0.30434782608695654,0.3333333333333333,0.3333333333333333,0.1875,1.1331055164337158,33,10,7,9,8,32,10,14,9,23,9,12,16,0.35294117647058826,0.42857142857142855,0.07142857142857142,0.3333333333333333,0.42857142857142855,0.3673469387755102,1.0,0.0,0.0,0.4,0.25,0.3333333333333333,0.40625,1.1066570281982422,51,14,14,18,7,49,18,14,19,35,16,9,32
9,0.30303030303030304,0.4,0.42857142857142855,0.4444444444444444,0.5,0.3125,1.0,0.0,0.0,0.30434782608695654,0.3333333333333333,0.3333333333333333,0.1875,1.1325664520263672,33,10,7,9,8,32,10,14,9,23,9,12,16,0.35294117647058826,0.42857142857142855,0.07142857142857142,0.3333333333333333,0.42857142857142855,0.3673469387755102,1.0,0.0,0.0,0.4,0.25,0.3333333333333333,0.40625,1.1065586805343628,51,14,14,18,7,49,18,14,19,35,16,9,32
10,0.30303030303030304,0.4,0.42857142857142855,0.4444444444444444,0.5,0.3125,1.0,0.0,0.0,0.30434782608695654,0.3333333333333333,0.3333333333333333,0.1875,1.1320679187774658,33,10,7,9,8,32,10,14,9,23,9,12,16,0.35294117647058826,0.42857142857142855,0.07142857142857142,0.3333333333333333,0.42857142857142855,0.3673469387755102,1.0,0.0,0.0,0.4,0.25,0.3333333333333333,0.40625,1.1055597066879272,51,14,14,18,7,49,18,14,19,35,16,9,32
