epoch,test_acc,test_acc_channel_music,test_acc_channel_noise,test_acc_channel_telephone,test_acc_gender_female,test_acc_gender_male,test_acc_language_maninka,test_acc_language_pular,test_acc_language_susu,test_acc_speaker_count_multiple,test_acc_speaker_count_single,test_acc_utterance_multilingual,test_acc_utterance_verbal_nod,test_loss,test_n,test_n_channel_music,test_n_channel_noise,test_n_channel_telephone,test_n_gender_female,test_n_gender_male,test_n_language_maninka,test_n_language_pular,test_n_language_susu,test_n_speaker_count_multiple,test_n_speaker_count_single,test_n_utterance_multilingual,test_n_utterance_verbal_nod,train_acc,train_acc_channel_music,train_acc_channel_noise,train_acc_channel_telephone,train_acc_gender_female,train_acc_gender_male,train_acc_language_maninka,train_acc_language_pular,train_acc_language_susu,train_acc_speaker_count_multiple,train_acc_speaker_count_single,train_acc_utterance_multilingual,train_acc_utterance_verbal_nod,train_loss,train_n,train_n_channel_music,train_n_channel_noise,train_n_channel_telephone,train_n_gender_female,train_n_gender_male,train_n_language_maninka,train_n_language_pular,train_n_language_susu,train_n_speaker_count_multiple,train_n_speaker_count_single,train_n_utterance_multilingual,train_n_utterance_verbal_nod
1,0.36363636363636365,0.45454545454545453,0.16666666666666666,0.5,0.4,0.3870967741935484,1.0,0.0,0.0,0.42105263157894735,0.3076923076923077,0.4444444444444444,0.4444444444444444,1.1093547344207764,33,11,6,8,10,31,12,14,7,19,13,9,18,0.3137254901960784,0.2857142857142857,0.23529411764705882,0.2777777777777778,0.5714285714285714,0.32,0.9375,0.07142857142857142,0.0,0.2647058823529412,0.375,0.38461538461538464,0.25,1.1364161968231201,51,14,17,18,7,50,16,14,21,34,16,13,28
2,0.36363636363636365,0.45454545454545453,0.16666666666666666,0.5,0.4,0.3870967741935484,1.0,0.0,0.0,0.42105263157894735,0.3076923076923077,0.4444444444444444,0.4444444444444444,1.1089757680892944,33,11,6,8,10,31,12,14,7,19,13,9,18,0.29411764705882354,0.35714285714285715,0.11764705882352941,0.2222222222222222,0.5714285714285714,0.3,0.8125,0.14285714285714285,0.0,0.3235294117647059,0.25,0.3076923076923077,0.35714285714285715,1.1373199224472046,51,14,17,18,7,50,16,14,21,34,16,13,28
3,0.36363636363636365,0.45454545454545453,0.16666666666666666,0.5,0.4,0.3870967741935484,1.0,0.0,0.0,0.42105263157894735,0.3076923076923077,0.4444444444444444,0.4444444444444444,1.108627438545227,33,11,6,8,10,31,12,14,7,19,13,9,18,0.29411764705882354,0.35714285714285715,0.17647058823529413,0.2777777777777778,0.7142857142857143,0.3,0.9375,0.0,0.0,0.29411764705882354,0.3125,0.3076923076923077,0.2857142857142857,1.1482067108154297,51,14,17,18,7,50,16,14,21,34,16,13,28
4,0.36363636363636365,0.45454545454545453,0.16666666666666666,0.5,0.4,0.3870967741935484,1.0,0.0,0.0,0.42105263157894735,0.3076923076923077,0.4444444444444444,0.4444444444444444,1.1083118915557861,33,11,6,8,10,31,12,14,7,19,13,9,18,0.3137254901960784,0.35714285714285715,0.23529411764705882,0.2777777777777778,0.7142857142857143,0.32,0.875,0.14285714285714285,0.0,0.29411764705882354,0.3125,0.38461538461538464,0.32142857142857145,1.1157419681549072,51,14,17,18,7,50,16,14,21,34,16,13,28
5,0.36363636363636365,0.45454545454545453,0.16666666666666666,0.5,0.4,0.3870967741935484,1.0,0.0,0.0,0.42105263157894735,0.3076923076923077,0.4444444444444444,0.4444444444444444,1.1082075834274292,33,11,6,8,10,31,12,14,7,19,13,9,18,0.3333333333333333,0.2857142857142857,0.29411764705882354,0.3333333333333333,0.7142857142857143,0.34,0.875,0.21428571428571427,0.0,0.38235294117647056,0.1875,0.38461538461538464,0.32142857142857145,1.1332378387451172,51,14,17,18,7,50,16,14,21,34,16,13,28
6,0.36363636363636365,0.45454545454545453,0.16666666666666666,0.5,0.4,0.3870967741935484,1.0,0.0,0.0,0.42105263157894735,0.3076923076923077,0.4444444444444444,0.4444444444444444,1.1080163717269897,33,11,6,8,10,31,12,14,7,19,13,9,18,0.3137254901960784,0.2857142857142857,0.23529411764705882,0.3333333333333333,0.42857142857142855,0.32,0.875,0.14285714285714285,0.0,0.29411764705882354,0.3125,0.5384615384615384,0.2857142857142857,1.130241870880127,51,14,17,18,7,50,16,14,21,34,16,13,28
7,0.36363636363636365,0.45454545454545453,0.16666666666666666,0.5,0.4,0.3870967741935484,1.0,0.0,0.0,0.42105263157894735,0.3076923076923077,0.4444444444444444,0.4444444444444444,1.1076833009719849,33,11,6,8,10,31,12,14,7,19,13,9,18,0.23529411764705882,0.21428571428571427,0.17647058823529413,0.2777777777777778,0.42857142857142855,0.24,0.75,0.0,0.0,0.20588235294117646,0.3125,0.3076923076923077,0.17857142857142858,1.1631226539611816,51,14,17,18,7,50,16,14,21,34,16,13,28
8,0.36363636363636365,0.45454545454545453,0.16666666666666666,0.5,0.4,0.3870967741935484,1.0,0.0,0.0,0.42105263157894735,0.3076923076923077,0.4444444444444444,0.4444444444444444,1.107619047164917,33,11,6,8,10,31,12,14,7,19,13,9,18,0.3137254901960784,0.35714285714285715,0.23529411764705882,0.2222222222222222,0.5714285714285714,0.32,0.9375,0.07142857142857142,0.0,0.29411764705882354,0.3125,0.46153846153846156,0.32142857142857145,1.1189976930618286,51,14,17,18,7,50,16,14,21,34,16,13,28
9,0.36363636363636365,0.45454545454545453,0.16666666666666666,0.5,0.4,0.3870967741935484,1.0,0.0,0.0,0.42105263157894735,0.3076923076923077,0.4444444444444444,0.4444444444444444,1.1074632406234741,33,11,6,8,10,31,12,14,7,19,13,9,18,0.29411764705882354,0.35714285714285715,0.23529411764705882,0.16666666666666666,0.7142857142857143,0.3,0.875,0.07142857142857142,0.0,0.2647058823529412,0.3125,0.3076923076923077,0.32142857142857145,1.137497067451477,51,14,17,18,7,50,16,14,21,34,16,13,28
10,0.36363636363636365,0.45454545454545453,0.16666666666666666,0.5,0.4,0.3870967741935484,1.0,0.0,0.0,0.42105263157894735,0.3076923076923077,0.4444444444444444,0.4444444444444444,1.1072323322296143,33,11,6,8,10,31,12,14,7,19,13,9,18,0.3333333333333333,0.42857142857142855,0.29411764705882354,0.2777777777777778,0.7142857142857143,0.34,0.9375,0.14285714285714285,0.0,0.3235294117647059,0.3125,0.3076923076923077,0.35714285714285715,1.102246880531311,51,14,17,18,7,50,16,14,21,34,16,13,28
