epoch,test_acc,test_acc_channel_music,test_acc_channel_noise,test_acc_channel_telephone,test_acc_gender_female,test_acc_gender_male,test_acc_language_maninka,test_acc_language_pular,test_acc_language_susu,test_acc_speaker_count_multiple,test_acc_speaker_count_single,test_acc_utterance_multilingual,test_acc_utterance_verbal_nod,test_loss,test_n,test_n_channel_music,test_n_channel_noise,test_n_channel_telephone,test_n_gender_female,test_n_gender_male,test_n_language_maninka,test_n_language_pular,test_n_language_susu,test_n_speaker_count_multiple,test_n_speaker_count_single,test_n_utterance_multilingual,test_n_utterance_verbal_nod,train_acc,train_acc_channel_music,train_acc_channel_noise,train_acc_channel_telephone,train_acc_gender_female,train_acc_gender_male,train_acc_language_maninka,train_acc_language_pular,train_acc_language_susu,train_acc_speaker_count_multiple,train_acc_speaker_count_single,train_acc_utterance_multilingual,train_acc_utterance_verbal_nod,train_loss,train_n,train_n_channel_music,train_n_channel_noise,train_n_channel_telephone,train_n_gender_female,train_n_gender_male,train_n_language_maninka,train_n_language_pular,train_n_language_susu,train_n_speaker_count_multiple,train_n_speaker_count_single,train_n_utterance_multilingual,train_n_utterance_verbal_nod
1,0.30303030303030304,0.3333333333333333,0.25,0.36363636363636365,0.3333333333333333,0.3125,1.0,0.0,0.0,0.30434782608695654,0.3,0.3333333333333333,0.2857142857142857,1.478575348854065,33,12,8,11,6,32,10,12,11,23,10,6,14,0.3137254901960784,0.4166666666666667,0.23076923076923078,0.3125,0.5555555555555556,0.32653061224489793,0.8333333333333334,0.0625,0.0,0.4,0.13333333333333333,0.2,0.3235294117647059,0.6590641140937805,51,12,13,16,9,49,18,16,17,35,15,15,34
2,0.30303030303030304,0.3333333333333333,0.25,0.36363636363636365,0.3333333333333333,0.3125,1.0,0.0,0.0,0.30434782608695654,0.3,0.3333333333333333,0.2857142857142857,1.4772306680679321,33,12,8,11,6,32,10,12,11,23,10,6,14,0.35294117647058826,0.3333333333333333,0.07692307692307693,0.25,0.3333333333333333,0.3673469387755102,0.8333333333333334,0.1875,0.0,0.34285714285714286,0.4,0.4,0.3235294117647059,0.654654860496521,51,12,13,16,9,49,18,16,17,35,15,15,34
3,0.30303030303030304,0.3333333333333333,0.25,0.36363636363636365,0.3333333333333333,0.3125,1.0,0.0,0.0,0.30434782608695654,0.3,0.3333333333333333,0.2857142857142857,1.4757403135299683,33,12,8,11,6,32,10,12,11,23,10,6,14,0.3333333333333333,0.3333333333333333,0.23076923076923078,0.375,0.4444444444444444,0.3469387755102041,0.8888888888888888,0.0625,0.0,0.37142857142857144,0.26666666666666666,0.3333333333333333,0.29411764705882354,0.6625869870185852,51,12,13,16,9,49,18,16,17,35,15,15,34
4,0.30303030303030304,0.3333333333333333,0.25,0.36363636363636365,0.3333333333333333,0.3125,1.0,0.0,0.0,0.30434782608695654,0.3,0.3333333333333333,0.2857142857142857,1.4741361141204834,33,12,8,11,6,32,10,12,11,23,10,6,14,0.37254901960784315,0.4166666666666667,0.23076923076923078,0.4375,0.5555555555555556,0.3877551020408163,0.8888888888888888,0.1875,0.0,0.42857142857142855,0.26666666666666666,0.3333333333333333,0.4117647058823529,0.6469095945358276,51,12,13,16,9,49,18,16,17,35,15,15,34
5,0.30303030303030304,0.3333333333333333,0.25,0.36363636363636365,0.3333333333333333,0.3125,1.0,0.0,0.0,0.30434782608695654,0.3,0.3333333333333333,0.2857142857142857,1.4726359844207764,33,12,8,11,6,32,10,12,11,23,10,6,14,0.37254901960784315,0.4166666666666667,0.15384615384615385,0.3125,0.4444444444444444,0.3877551020408163,0.8888888888888888,0.1875,0.0,0.4,0.3333333333333333,0.4,0.35294117647058826,0.6528434753417969,51,12,13,16,9,49,18,16,17,35,15,15,34
6,0.30303030303030304,0.3333333333333333,0.25,0.36363636363636365,0.3333333333333333,0.3125,1.0,0.0,0.0,0.30434782608695654,0.3,0.3333333333333333,0.2857142857142857,1.4712581634521484,33,12,8,11,6,32,10,12,11,23,10,6,14,0.3333333333333333,0.4166666666666667,0.15384615384615385,0.375,0.4444444444444444,0.32653061224489793,0.8333333333333334,0.125,0.0,0.4,0.13333333333333333,0.3333333333333333,0.38235294117647056,0.6557744741439819,51,12,13,16,9,49,18,16,17,35,15,15,34
7,0.30303030303030304,0.3333333333333333,0.25,0.36363636363636365,0.3333333333333333,0.3125,1.0,0.0,0.0,0.30434782608695654,0.3,0.3333333333333333,0.2857142857142857,1.4697463512420654,33,12,8,11,6,32,10,12,11,23,10,6,14,0.27450980392156865,0.3333333333333333,0.07692307692307693,0.3125,0.2222222222222222,0.2857142857142857,0.7222222222222222,0.0625,0.0,0.3142857142857143,0.2,0.2,0.3235294117647059,0.6703879833221436,51,12,13,16,9,49,18,16,17,35,15,15,34
8,0.30303030303030304,0.3333333333333333,0.25,0.36363636363636365,0.3333333333333333,0.3125,1.0,0.0,0.0,0.30434782608695654,0.3,0.3333333333333333,0.2857142857142857,1.4684247970581055,33,12,8,11,6,32,10,12,11,23,10,6,14,0.37254901960784315,0.5,0.15384615384615385,0.375,0.5555555555555556,0.3877551020408163,0.9444444444444444,0.125,0.0,0.4,0.3333333333333333,0.26666666666666666,0.35294117647058826,0.6462276577949524,51,12,13,16,9,49,18,16,17,35,15,15,34
9,0.30303030303030304,0.3333333333333333,0.25,0.36363636363636365,0.3333333333333333,0.3125,1.0,0.0,0.0,0.30434782608695654,0.3,0.3333333333333333,0.2857142857142857,1.4669976234436035,33,12,8,11,6,32,10,12,11,23,10,6,14,0.3333333333333333,0.5,0.15384615384615385,0.375,0.5555555555555556,0.3469387755102041,0.8888888888888888,0.0625,0.0,0.37142857142857144,0.26666666666666666,0.26666666666666666,0.3235294117647059,0.655192494392395,51,12,13,16,9,49,18,16,17,35,15,15,34
10,0.30303030303030304,0.3333333333333333,0.25,0.36363636363636365,0.3333333333333333,0.3125,1.0,0.0,0.0,0.30434782608695654,0.3,0.3333333333333333,0.2857142857142857,1.4656099081039429,33,12,8,11,6,32,10,12,11,23,10,6,14,0.35294117647058826,0.5833333333333334,0.23076923076923078,0.375,0.6666666666666666,0.3469387755102041,0.8888888888888888,0.125,0.0,0.4,0.26666666666666666,0.3333333333333333,0.35294117647058826,0.6443395018577576,51,12,13,16,9,49,18,16,17,35,15,15,34
11,0.30303030303030304,0.3333333333333333,0.25,0.36363636363636365,0.3333333333333333,0.3125,1.0,0.0,0.0,0.30434782608695654,0.3,0.3333333333333333,0.2857142857142857,1.4642375707626343,33,12,8,11,6,32,10,12,11,23,10,6,14,0.3333333333333333,0.4166666666666667,0.15384615384615385,0.375,0.5555555555555556,0.3469387755102041,0.9444444444444444,0.0,0.0,0.4,0.2,0.3333333333333333,0.3235294117647059,0.645189106464386,51,12,13,16,9,49,18,16,17,35,15,15,34
12,0.30303030303030304,0.3333333333333333,0.25,0.36363636363636365,0.3333333333333333,0.3125,1.0,0.0,0.0,0.30434782608695654,0.3,0.3333333333333333,0.2857142857142857,1.463017225265503,33,12,8,11,6,32,10,12,11,23,10,6,14,0.35294117647058826,0.4166666666666667,0.23076923076923078,0.4375,0.5555555555555556,0.3673469387755102,0.8888888888888888,0.125,0.0,0.42857142857142855,0.2,0.4666666666666667,0.35294117647058826,0.6419618129730225,51,12,13,16,9,49,18,16,17,35,15,15,34
13,0.30303030303030304,0.3333333333333333,0.25,0.36363636363636365,0.3333333333333333,0.3125,1.0,0.0,0.0,0.30434782608695654,0.3,0.3333333333333333,0.2857142857142857,1.4617676734924316,33,12,8,11,6,32,10,12,11,23,10,6,14,0.3137254901960784,0.4166666666666667,0.23076923076923078,0.25,0.4444444444444444,0.32653061224489793,0.7777777777777778,0.125,0.0,0.34285714285714286,0.26666666666666666,0.26666666666666666,0.29411764705882354,0.6544535756111145,51,12,13,16,9,49,18,16,17,35,15,15,34
14,0.30303030303030304,0.3333333333333333,0.25,0.36363636363636365,0.3333333333333333,0.3125,1.0,0.0,0.0,0.30434782608695654,0.3,0.3333333333333333,0.2857142857142857,1.4604382514953613,33,12,8,11,6,32,10,12,11,23,10,6,14,0.27450980392156865,0.3333333333333333,0.15384615384615385,0.375,0.4444444444444444,0.2857142857142857,0.7777777777777778,0.0,0.0,0.34285714285714286,0.13333333333333333,0.26666666666666666,0.29411764705882354,0.6576980352401733,51,12,13,16,9,49,18,16,17,35,15,15,34
