epoch,test_acc,test_acc_channel_music,test_acc_channel_noise,test_acc_channel_telephone,test_acc_gender_female,test_acc_gender_male,test_acc_language_maninka,test_acc_language_pular,test_acc_language_susu,test_acc_speaker_count_multiple,test_acc_speaker_count_single,test_acc_utterance_multilingual,test_acc_utterance_verbal_nod,test_loss,test_n,test_n_channel_music,test_n_channel_noise,test_n_channel_telephone,test_n_gender_female,test_n_gender_male,test_n_language_maninka,test_n_language_pular,test_n_language_susu,test_n_speaker_count_multiple,test_n_speaker_count_single,test_n_utterance_multilingual,test_n_utterance_verbal_nod,train_acc,train_acc_channel_music,train_acc_channel_noise,train_acc_channel_telephone,train_acc_gender_female,train_acc_gender_male,train_acc_language_maninka,train_acc_language_pular,train_acc_language_susu,train_acc_speaker_count_multiple,train_acc_speaker_count_single,train_acc_utterance_multilingual,train_acc_utterance_verbal_nod,train_loss,train_n,train_n_channel_music,train_n_channel_noise,train_n_channel_telephone,train_n_gender_female,train_n_gender_male,train_n_language_maninka,train_n_language_pular,train_n_language_susu,train_n_speaker_count_multiple,train_n_speaker_count_single,train_n_utterance_multilingual,train_n_utterance_verbal_nod
1,0.30303030303030304,0.3,0.16666666666666666,0.1111111111111111,0.0,0.3125,0.0,0.0,1.0,0.3157894736842105,0.3076923076923077,0.25,0.2,1.0950582027435303,33,10,6,9,4,32,8,15,10,19,13,8,20,0.35294117647058826,0.5,0.5333333333333333,0.4444444444444444,0.5454545454545454,0.3469387755102041,0.0,0.0,1.0,0.358974358974359,0.3333333333333333,0.23076923076923078,0.32142857142857145,1.1059249639511108,51,14,15,18,11,49,20,13,18,39,12,13,28
2,0.30303030303030304,0.3,0.16666666666666666,0.1111111111111111,0.0,0.3125,0.0,0.0,1.0,0.3157894736842105,0.3076923076923077,0.25,0.2,1.0949490070343018,33,10,6,9,4,32,8,15,10,19,13,8,20,0.35294117647058826,0.5,0.5333333333333333,0.4444444444444444,0.5454545454545454,0.3469387755102041,0.0,0.0,1.0,0.358974358974359,0.3333333333333333,0.23076923076923078,0.32142857142857145,1.103495717048645,51,14,15,18,11,49,20,13,18,39,12,13,28
3,0.30303030303030304,0.3,0.16666666666666666,0.1111111111111111,0.0,0.3125,0.0,0.0,1.0,0.3157894736842105,0.3076923076923077,0.25,0.2,1.094719648361206,33,10,6,9,4,32,8,15,10,19,13,8,20,0.35294117647058826,0.5,0.5333333333333333,0.4444444444444444,0.5454545454545454,0.3469387755102041,0.0,0.0,1.0,0.358974358974359,0.3333333333333333,0.23076923076923078,0.32142857142857145,1.1028801202774048,51,14,15,18,11,49,20,13,18,39,12,13,28
4,0.30303030303030304,0.3,0.16666666666666666,0.1111111111111111,0.0,0.3125,0.0,0.0,1.0,0.3157894736842105,0.3076923076923077,0.25,0.2,1.0946217775344849,33,10,6,9,4,32,8,15,10,19,13,8,20,0.35294117647058826,0.5,0.5333333333333333,0.4444444444444444,0.5454545454545454,0.3469387755102041,0.0,0.0,1.0,0.358974358974359,0.3333333333333333,0.23076923076923078,0.32142857142857145,1.1013226509094238,51,14,15,18,11,49,20,13,18,39,12,13,28
5,0.30303030303030304,0.3,0.16666666666666666,0.1111111111111111,0.0,0.3125,0.0,0.0,1.0,0.3157894736842105,0.3076923076923077,0.25,0.2,1.094490647315979,33,10,6,9,4,32,8,15,10,19,13,8,20,0.35294117647058826,0.5,0.5333333333333333,0.4444444444444444,0.5454545454545454,0.3469387755102041,0.0,0.0,1.0,0.358974358974359,0.3333333333333333,0.23076923076923078,0.32142857142857145,1.0999090671539307,51,14,15,18,11,49,20,13,18,39,12,13,28
6,0.2727272727272727,0.3,0.16666666666666666,0.1111111111111111,0.0,0.28125,0.0,0.0,0.9,0.3157894736842105,0.23076923076923078,0.25,0.2,1.0945149660110474,33,10,6,9,4,32,8,15,10,19,13,8,20,0.35294117647058826,0.5,0.5333333333333333,0.4444444444444444,0.5454545454545454,0.3469387755102041,0.0,0.0,1.0,0.358974358974359,0.3333333333333333,0.23076923076923078,0.32142857142857145,1.098776936531067,51,14,15,18,11,49,20,13,18,39,12,13,28
7,0.30303030303030304,0.3,0.16666666666666666,0.1111111111111111,0.0,0.3125,0.0,0.06666666666666667,0.9,0.3157894736842105,0.3076923076923077,0.25,0.2,1.0946706533432007,33,10,6,9,4,32,8,15,10,19,13,8,20,0.35294117647058826,0.5,0.5333333333333333,0.4444444444444444,0.5454545454545454,0.3469387755102041,0.0,0.0,1.0,0.358974358974359,0.3333333333333333,0.23076923076923078,0.32142857142857145,1.097131371498108,51,14,15,18,11,49,20,13,18,39,12,13,28
8,0.30303030303030304,0.3,0.16666666666666666,0.1111111111111111,0.0,0.3125,0.0,0.06666666666666667,0.9,0.3157894736842105,0.3076923076923077,0.25,0.2,1.0949289798736572,33,10,6,9,4,32,8,15,10,19,13,8,20,0.35294117647058826,0.5,0.5333333333333333,0.4444444444444444,0.5454545454545454,0.3469387755102041,0.0,0.0,1.0,0.358974358974359,0.3333333333333333,0.23076923076923078,0.32142857142857145,1.095115065574646,51,14,15,18,11,49,20,13,18,39,12,13,28
9,0.30303030303030304,0.3,0.16666666666666666,0.1111111111111111,0.0,0.3125,0.0,0.06666666666666667,0.9,0.3157894736842105,0.3076923076923077,0.25,0.2,1.095259428024292,33,10,6,9,4,32,8,15,10,19,13,8,20,0.35294117647058826,0.5,0.5333333333333333,0.4444444444444444,0.5454545454545454,0.3469387755102041,0.0,0.0,1.0,0.358974358974359,0.3333333333333333,0.23076923076923078,0.32142857142857145,1.0942718982696533,51,14,15,18,11,49,20,13,18,39,12,13,28
10,0.2727272727272727,0.3,0.0,0.1111111111111111,0.0,0.28125,0.0,0.06666666666666667,0.8,0.3157894736842105,0.23076923076923078,0.25,0.2,1.095534086227417,33,10,6,9,4,32,8,15,10,19,13,8,20,0.37254901960784315,0.5714285714285714,0.5333333333333333,0.4444444444444444,0.6363636363636364,0.3469387755102041,0.0,0.07692307692307693,1.0,0.38461538461538464,0.3333333333333333,0.23076923076923078,0.35714285714285715,1.092882513999939,51,14,15,18,11,49,20,13,18,39,12,13,28
11,0.3333333333333333,0.3,0.0,0.1111111111111111,0.0,0.34375,0.0,0.2,0.8,0.3157894736842105,0.38461538461538464,0.375,0.25,1.0957003831863403,33,10,6,9,4,32,8,15,10,19,13,8,20,0.39215686274509803,0.5,0.5333333333333333,0.4444444444444444,0.5454545454545454,0.3877551020408163,0.0,0.15384615384615385,1.0,0.38461538461538464,0.4166666666666667,0.23076923076923078,0.35714285714285715,1.0915050506591797,51,14,15,18,11,49,20,13,18,39,12,13,28
12,0.36363636363636365,0.3,0.0,0.1111111111111111,0.0,0.375,0.0,0.26666666666666666,0.8,0.3684210526315789,0.38461538461538464,0.5,0.25,1.0958428382873535,33,10,6,9,4,32,8,15,10,19,13,8,20,0.45098039215686275,0.5714285714285714,0.6,0.4444444444444444,0.6363636363636364,0.42857142857142855,0.0,0.38461538461538464,1.0,0.41025641025641024,0.5833333333333334,0.3076923076923077,0.39285714285714285,1.0899885892868042,51,14,15,18,11,49,20,13,18,39,12,13,28
13,0.3939393939393939,0.4,0.0,0.1111111111111111,0.0,0.40625,0.0,0.3333333333333333,0.8,0.3684210526315789,0.46153846153846156,0.5,0.25,1.0959559679031372,33,10,6,9,4,32,8,15,10,19,13,8,20,0.45098039215686275,0.5,0.6,0.4444444444444444,0.5454545454545454,0.4489795918367347,0.0,0.38461538461538464,1.0,0.41025641025641024,0.5833333333333334,0.38461538461538464,0.39285714285714285,1.0881916284561157,51,14,15,18,11,49,20,13,18,39,12,13,28
